,"Item","Description","Price","UPC / GTIN","Gross Wt (lbs)","Pack/Unit","Case Cube","Unique Instructions"
,"7"":32 oz:27005-1","7"" Gluten Free Tuxedo Cheesecake",9.50,"603812270052",,"1 / 32 oz",,
,"7"":32 oz:27005-6","7"" Gluten Free Tuxedo Cheesecake (6/cs)",39.12,"10603812270059","13.5","6 / 32 oz",".75",
,"7"":32 oz:27006-1","7"" Gluten Free Pumpkin Cheesecake",9.50,"603812270069",,"1 / 32 oz",,
,"7"":32 oz:27006-6","7"" Gluten Free Pumpkin Cheesecake (6/cs)",39.12,"10603812270066","13.5","6 / 32 oz",".75",
,"7"":32 oz:27007-1","7"" Irish Cream Cheesecake",9.50,"603812270076",,"1 / 32 oz",,
,"7"":32 oz:27007-6","7"" Irish Cream Cheesecake (6/cs)",36.90,"10603812270075","13.5","6 / 32 oz",".75",
,"7"":32 oz:27008-1","7"" Pumpkin Cheesecake",9.50,"603812270083",,"1 / 32 oz",,
,"7"":32 oz:27008-6","7"" Pumpkin Cheesecake (6/cs)",36.90,"10603812270080","13.5","6 / 32 oz",".75",
,"7"":32 oz:27009-1","7"" Very Berry Cheesecake",9.50,"603812270090",,"1 / 32 oz",,
,"7"":32 oz:27009-6","7"" Very Berry Cheesecake (6/cs)",36.90,"10603812270097","13.5","6 / 32 oz",".75",
,"7"":32 oz:27010-1","7"" Cajeta Cheesecake",9.50,"603812270106",,"1 / 32 oz",,
,"7"":32 oz:27010-6","7"" Cajeta Cheesecake (6/cs)",36.90,"10603812270103","13.5","6 / 32 oz",".75",
,"7"":32 oz:27012-1","7"" Key Lime Cheesecake",9.50,"603812270120",,"1 / 32 oz",,
,"7"":32 oz:27012-6","7"" Key Lime Cheesecake (6/cs)",36.90,"10603812270127","13.5","6 / 32 oz",".75",
,"7"":32 oz:27013-1","7"" Gluten Free Strawberry Cheesecake",9.50,"603812270137",,"1 / 32 oz",,
,"7"":32 oz:27013-6","7"" Gluten Free Strawberry Cheesecake (6/cs)",36.90,"10603812270134","13.5","6 / 32 oz",".75",
,"7"":32 oz:27014-1","7"" Pumpkin Cheesecake with Graham Crust",9.50,"603812270144",,"1 / 32 oz",,
,"7"":32 oz:27014-6","7"" Pumpkin Cheesecake with Graham Crust (6/cs)",36.90,"10603812270141","13.5","6 / 32 oz",".75",
,"7"":32 oz:27015-1","7"" Pumpkin Chocolate Chip Cheesecake",9.50,"603812270151",,"1 / 32 oz",,
,"7"":32 oz:27015-6","7"" Pumpkin Chocolate Chip Cheesecake (6/cs)",36.90,"10603812270158","13.5","6 / 32 oz",".75",
,"7"":32 oz:27017-1","7"" Chocolate Truffle Cheesecake",9.50,"603812270175",,"1 / 32 oz",,
,"7"":32 oz:27017-6","7"" Chocolate Truffle Cheesecake (6/cs)",36.90,"10603812270172","13.5","6 / 32 oz",".75",
,"7"":32 oz:27018-1","7"" Egg Nog Cheesecake",9.50,"603812270182",,"1 / 32 oz",,
,"7"":32 oz:27018-6","7"" Egg Nog Cheesecake (6/cs)",36.90,"10603812270189","13.5","6 / 32 oz",".75",
,"7"":32 oz:27019-1","7"" Tuxedo Cheesecake",9.50,"603812270199",,"1 / 32 oz",,
,"7"":32 oz:27019-6","7"" Tuxedo Cheesecake (6/cs)",39.12,"10603812270196","13.5","6 / 32 oz",".75",
